Tiempo,NumeroJoints,G_parcial
11.520,6,227.147
11.525,6,4002.372
11.530,6,4047.499
11.535,6,4168.163
11.540,6,4354.045
11.545,6,4468.907
11.550,6,3736.785
11.555,6,3808.983
11.560,6,3788.542
11.565,6,3767.370
11.570,6,3745.466
11.575,6,3723.206
11.580,6,3701.272
11.585,6,3680.471
11.590,6,3661.523
11.595,6,3644.903
11.600,6,3596.379
11.605,6,3512.907
11.610,6,3105.103
11.615,6,3457.189
11.620,6,3434.814
11.625,6,3416.318
11.630,6,3400.428
11.635,6,3386.887
11.640,6,3375.427
11.645,6,3365.164
11.650,6,3356.496
11.655,6,3348.922
11.660,6,3341.999
11.665,6,3335.948
11.670,6,3269.293
11.675,6,3190.041
11.680,6,3180.772
11.685,6,3172.543
11.690,6,2906.905
11.695,6,2827.130
11.700,6,2799.479
11.705,6,2773.446
11.710,6,2081.835
11.715,6,2398.802
11.720,6,2412.051
11.725,6,2420.429
11.730,6,2415.278
11.735,6,2406.014
11.740,6,2390.534
11.745,6,2369.114
11.750,6,2343.036
11.755,6,2312.684
11.760,6,2278.971
11.765,6,2241.445
11.770,6,2201.196
11.775,6,2159.161
11.780,6,2115.239
11.785,6,2069.223
11.790,6,2022.673
11.795,6,1975.016
11.800,6,1926.985
11.805,6,1877.927
11.810,6,1829.327
11.815,6,1780.466
11.820,6,1731.743
11.825,6,1683.274
11.830,6,1635.171
11.835,6,1587.530
11.840,6,1540.428
11.845,6,1517.494
11.850,6,1549.867
11.855,6,1582.291
11.860,6,1613.274
11.865,6,1645.158
11.870,6,1675.867
11.875,6,1706.220
11.880,6,1735.845
11.885,6,1766.207
11.890,6,1794.643
11.895,6,1822.859
11.900,6,1851.660
11.905,6,1878.513
11.910,6,1905.667
11.915,6,1932.809
11.920,6,1958.248
11.925,6,1984.184
11.930,6,2009.365
11.935,6,2034.170
11.940,6,2061.981
11.945,6,2082.761
11.950,6,2109.345
11.955,6,2131.707
11.960,6,2154.630
11.965,6,2177.041
11.970,6,2199.405
11.975,6,2222.438
11.980,6,2245.146
11.985,6,2267.075
11.990,6,2289.275
11.995,6,2310.856
12.000,6,2332.095
12.005,6,2352.994
12.010,6,2368.118
12.015,6,2367.369
12.020,6,2366.775
12.025,6,2366.239
12.030,6,2365.739
12.035,6,2365.352
12.040,6,2221.208
12.045,6,1759.286
12.050,6,1785.031
12.055,6,1826.750
12.060,6,1951.170
12.065,6,1771.614
12.070,6,1751.161
12.075,6,1738.730
12.080,6,1730.016
12.085,6,1709.870
12.090,6,1695.422
12.095,6,1680.137
12.100,6,1666.747
12.105,6,1649.815
12.110,6,1632.221
12.115,6,1617.855
12.120,6,1603.045
12.125,6,1588.408
12.130,6,1573.902
12.135,6,1559.693
12.140,6,1545.438
12.145,6,1530.723
12.150,6,1517.111
12.155,6,1503.716
12.160,6,1461.774
12.165,6,1461.039
12.170,6,1473.463
12.175,6,1485.482
12.180,6,1493.007
12.185,6,1493.847
12.190,6,1501.555
12.195,6,1510.885
12.200,6,1520.798
12.205,6,1530.560
12.210,6,1540.268
12.215,6,1549.272
12.220,6,1558.094
12.225,6,1566.831
12.230,6,1575.489
12.235,6,1584.028
12.240,6,1592.417
12.245,6,1600.654
12.250,6,1608.737
12.255,6,1616.668
12.260,6,1624.449
12.265,6,1632.079
12.270,6,1639.556
12.275,6,1646.882
12.280,6,1654.055
12.285,6,1661.074
12.290,6,1667.938
12.295,6,1674.651
12.300,6,1681.210
12.305,6,1687.614
12.310,6,1693.863
12.315,6,1699.959
12.320,6,1705.896
12.325,6,1711.677
12.330,6,1717.309
12.335,6,1722.400
12.340,6,1714.560
12.345,6,1736.653
12.350,6,1740.722
12.355,6,1743.581
12.360,6,1737.355
12.365,6,1750.416
12.370,6,1756.607
12.375,6,1760.577
12.380,6,1764.514
12.385,6,1768.058
12.390,6,1772.095
12.395,6,1775.490
12.400,6,1778.998
12.405,6,1782.267
12.410,6,1785.360
12.415,6,1788.287
12.420,6,1791.057
